,n_ens,m_times,mean_crps_dist,mean_crps_ens,rel,res,unc
0,10.0,100.0,0.6593083151605881,0.70970092682591,0.18140812094783135,0.1238710941761242,0.6521639000542027
1,10.0,1000.0,0.5729927483623742,0.6364645073657097,0.09486570053753594,0.031139082454179626,0.5727378892823535
2,10.0,10000.0,0.5582460098493108,0.6136939607887391,0.09288458609884148,0.03737508282099755,0.558184457510895
3,10.0,100000.0,0.5630341893429862,0.6203271519038894,0.09577302561296376,0.038473189141452924,0.5630273154323786
4,10.0,1000000.0,0.5644028150025796,0.6202622440057883,0.0955950607694302,0.03973520941553155,0.5644023926518896
0,50.0,100.0,0.5174155483626357,0.522454957118191,0.012448269713973826,4.760814579951589e-05,0.5100542955500166
1,50.0,1000.0,0.5561383850931371,0.5664854884675109,0.01671139201266409,0.0061548313276001965,0.5559289277824471
2,50.0,10000.0,0.5654991736753902,0.5767115357934326,0.014630583802288169,0.003312919460155217,0.5653938714512995
3,50.0,100000.0,0.5655844862950694,0.5772551495039652,0.015849973998985956,0.00417388844875366,0.5655790639537328
4,50.0,1000000.0,0.5639495651688743,0.57529124299691,0.015584974883891276,0.00424246965533015,0.5639487377683488
0,100.0,100.0,0.5510457666703955,0.5612792070254867,0.034260536837927714,0.0032261314162761456,0.5302448016038348
1,100.0,1000.0,0.5557430046876979,0.5606555170831709,0.009408169737212119,0.003128895373638807,0.554376242719598
2,100.0,10000.0,0.5585563776753816,0.5642037017784419,0.007216340413587862,0.0015355677374997434,0.5585229291023536
3,100.0,100000.0,0.5632943463268363,0.5688827570803576,0.007285212828331631,0.001692248981287059,0.5632897932333134
4,100.0,1000000.0,0.5644789019430566,0.570067430800373,0.007181186191937275,0.0015918584398754154,0.5644781030483113
